part_number,description,category,criticality,unit_cost_usd,current_stock,safety_stock,reorder_point,lead_time_days,lead_time_volatility,aog_cost_per_day,supplier_id,last_updated,stock_coverage_days,risk_flag,on_time_delivery_pct,risk_exposure,region,country,country_code,inventory_risk_score,supplier_multiplier,composite_risk_score,risk_level,estimated_outage_days,financial_exposure_usd
PN-LAN-00421,Landing Gear Component - Series A,Landing Gear,Critical,20557,59,33,42,26.0,Low,197171,SUP-0129,2025-12-09,53.63636363636363,Healthy,79.0,Medium,North America,USA,USA,35,1.1,38.5,Medium,26.0,0.0
PN-ENG-00422,Engine Component - Series A,Engine,Critical,69158,31,16,20,75.0,High,259986,SUP-0088,2026-01-11,58.125,Healthy,73.5,High,Middle East,UAE,ARE,60,1.3,78.0,High,75.0,19498950.0
PN-STR-00423,Structural Component - Series C,Structural,Medium,9737,29,18,23,77.0,High,90599,SUP-0008,2026-01-15,48.333333333333336,Healthy,87.2,Low,Europe,Italy,ITA,40,1.0,40.0,Medium,77.0,0.0
PN-HYD-00424,Hydraulics Component - Series B,Hydraulics,High,5721,41,24,31,28.0,Low,179303,SUP-0092,2026-01-04,51.25,Healthy,99.0,Medium,Asia-Pacific,China,CHN,25,1.1,27.500000000000004,Low,28.0,0.0
PN-LAN-00425,Landing Gear Component - Series X,Landing Gear,Critical,20348,28,18,23,72.0,High,138399,SUP-0022,2026-01-13,46.66666666666667,Healthy,64.1,Medium,North America,Canada,CAN,60,1.1,66.0,High,72.0,9964728.0
PN-HYD-00426,Hydraulics Component - Series A,Hydraulics,High,8534,67,38,49,54.0,Medium,168863,SUP-0069,2025-11-14,52.89473684210527,Healthy,99.0,Medium,Asia-Pacific,China,CHN,35,1.1,38.5,Medium,54.0,0.0
PN-LAN-00427,Landing Gear Component - Series X,Landing Gear,Critical,27245,31,24,31,16.0,Low,182944,SUP-0082,2025-12-11,38.75,Healthy,83.4,High,Middle East,UAE,ARE,35,1.3,45.5,Medium,16.0,0.0
PN-ENG-00428,Engine Component - Series X,Engine,Critical,57204,73,43,55,36.0,Medium,226834,SUP-0093,2025-11-29,50.93023255813954,Healthy,83.4,High,Middle East,Qatar,QAT,45,1.3,58.5,Medium,36.0,0.0
PN-ENG-00429,Engine Component - Series X,Engine,Critical,37541,11,24,31,52.0,Medium,286303,SUP-0143,2026-01-05,13.75,Critical,60.0,High,Middle East,Turkey,TUR,80,1.3,100.0,High,52.0,14887756.0
PN-CAB-00430,Cabin Systems Component - Series C,Cabin Systems,Medium,3936,-1,43,55,41.0,Medium,61587,SUP-0142,2025-11-06,-0.6976744186046512,Critical,75.1,Medium,Europe,Germany,DEU,65,1.1,71.5,High,41.0,2525067.0
PN-CAB-00431,Cabin Systems Component - Series X,Cabin Systems,Medium,3112,59,30,39,23.0,Low,114360,SUP-0004,2025-12-02,59.0,Healthy,83.1,Medium,North America,USA,USA,15,1.1,16.5,Low,23.0,0.0
PN-LAN-00432,Landing Gear Component - Series B,Landing Gear,Critical,15274,63,34,44,58.0,Medium,190884,SUP-0147,2025-12-31,55.588235294117645,Healthy,61.2,Medium,Europe,France,FRA,45,1.1,49.50000000000001,Medium,58.0,0.0
PN-AVI-00433,Avionics Component - Series C,Avionics,High,14097,23,19,24,67.0,High,152877,SUP-0078,2025-11-29,36.31578947368421,Warning,75.0,Medium,Europe,Germany,DEU,75,1.1,82.5,High,67.0,10242759.0
PN-LAN-00434,Landing Gear Component - Series C,Landing Gear,Critical,31101,45,31,40,88.0,High,320171,SUP-0108,2025-12-03,43.54838709677419,Healthy,81.1,Low,Europe,Germany,DEU,60,1.0,60.0,Medium,88.0,0.0
PN-LAN-00435,Landing Gear Component - Series B,Landing Gear,Critical,20067,71,42,54,71.0,High,357223,SUP-0127,2026-01-10,50.714285714285715,Healthy,74.7,Medium,Europe,France,FRA,60,1.1,66.0,High,71.0,25362833.0
PN-CAB-00436,Cabin Systems Component - Series C,Cabin Systems,Medium,2445,27,20,26,45.0,Medium,87160,SUP-0002,2025-12-15,40.5,Healthy,60.0,Medium,Europe,France,FRA,25,1.1,27.500000000000004,Low,45.0,0.0
PN-HYD-00437,Hydraulics Component - Series C,Hydraulics,High,10391,50,32,41,67.0,High,185693,SUP-0113,2025-12-07,46.875,Healthy,67.7,Medium,North America,USA,USA,50,1.1,55.00000000000001,Medium,67.0,0.0
PN-LAN-00438,Landing Gear Component - Series B,Landing Gear,Critical,16280,48,37,48,85.0,High,320567,SUP-0077,2025-12-06,38.91891891891892,Healthy,62.1,High,Middle East,Turkey,TUR,60,1.3,78.0,High,85.0,27248195.0
PN-CAB-00439,Cabin Systems Component - Series C,Cabin Systems,Medium,1934,28,20,26,13.0,Low,98198,SUP-0046,2025-12-15,42.0,Healthy,72.0,Medium,Europe,UK,GBR,15,1.1,16.5,Low,13.0,0.0
PN-HYD-00440,Hydraulics Component - Series X,Hydraulics,High,10713,50,33,42,7.0,Low,106782,SUP-0148,2025-11-26,45.45454545454545,Healthy,95.7,Low,Europe,Italy,ITA,25,1.0,25.0,Low,7.0,0.0
PN-HYD-00441,Hydraulics Component - Series X,Hydraulics,High,10010,26,24,31,73.0,High,192770,SUP-0094,2025-11-09,32.5,Warning,60.0,Medium,North America,USA,USA,75,1.1,82.5,High,73.0,14072210.0
PN-CAB-00442,Cabin Systems Component - Series B,Cabin Systems,Medium,3128,20,15,19,62.0,High,76939,SUP-0141,2025-10-29,40.0,Healthy,98.8,Low,Europe,UK,GBR,40,1.0,40.0,Medium,62.0,0.0
PN-ELE-00443,Electrical Component - Series X,Electrical,High,6655,30,27,35,52.0,Medium,232922,SUP-0075,2026-01-22,33.333333333333336,Warning,86.4,Medium,Asia-Pacific,China,CHN,60,1.1,66.0,High,52.0,12111944.0
PN-ENG-00444,Engine Component - Series X,Engine,Critical,45709,52,27,35,67.0,High,259508,SUP-0128,2025-11-12,57.77777777777778,Healthy,61.2,Medium,Europe,Germany,DEU,60,1.1,66.0,High,67.0,17387036.0
PN-ELE-00445,Electrical Component - Series B,Electrical,High,4379,25,24,31,87.0,High,159276,SUP-0109,2025-12-13,31.25,Warning,95.1,Medium,Asia-Pacific,Vietnam,VNM,75,1.1,82.5,High,87.0,13857012.0
PN-ENG-00446,Engine Component - Series X,Engine,Critical,58877,43,28,36,19.0,Low,221580,SUP-0137,2025-12-29,46.07142857142857,Healthy,81.3,Medium,North America,USA,USA,35,1.1,38.5,Medium,19.0,0.0
PN-STR-00447,Structural Component - Series C,Structural,Medium,14778,45,24,31,12.0,Low,100888,SUP-0138,2026-01-10,56.25,Healthy,72.6,Medium,North America,USA,USA,15,1.1,16.5,Low,12.0,0.0
PN-ELE-00448,Electrical Component - Series B,Electrical,High,3485,42,24,31,84.0,High,185195,SUP-0091,2025-11-16,52.5,Healthy,76.3,High,Middle East,Saudi Arabia,SAU,50,1.3,65.0,High,84.0,15556380.0
PN-ELE-00449,Electrical Component - Series X,Electrical,High,3230,36,25,32,45.0,Medium,148654,SUP-0085,2025-12-20,43.2,Healthy,80.4,Medium,Asia-Pacific,Taiwan,TWN,35,1.1,38.5,Medium,45.0,0.0
PN-ENG-00450,Engine Component - Series B,Engine,Critical,52275,14,24,31,,Unknown,228549,SUP-0115,2025-12-12,17.5,Critical,86.1,Medium,Asia-Pacific,China,CHN,85,1.1,93.50000000000001,High,30.0,6856470.0
PN-LAN-00451,Landing Gear Component - Series B,Landing Gear,Critical,19073,49,28,36,71.0,High,208699,SUP-0089,2025-10-29,52.5,Healthy,82.0,Medium,North America,USA,USA,60,1.1,66.0,High,71.0,14817629.0
PN-LAN-00452,Landing Gear Component - Series A,Landing Gear,Critical,27112,60,31,40,54.0,Medium,161370,SUP-0030,2025-11-13,58.06451612903225,Healthy,94.4,Medium,Asia-Pacific,Thailand,THA,45,1.1,49.50000000000001,Medium,54.0,0.0
PN-HYD-00453,Hydraulics Component - Series B,Hydraulics,High,9694,28,21,27,75.0,High,191834,SUP-0134,2025-12-26,40.0,Healthy,77.2,Medium,Europe,UK,GBR,50,1.1,55.00000000000001,Medium,75.0,0.0
PN-HYD-00454,Hydraulics Component - Series X,Hydraulics,High,8388,29,28,36,9.0,Low,184263,SUP-0082,2025-11-03,31.07142857142857,Warning,83.4,High,Middle East,UAE,ARE,50,1.3,65.0,High,9.0,1658367.0
PN-HYD-00455,Hydraulics Component - Series A,Hydraulics,High,8228,48,27,35,,Unknown,215417,SUP-0088,2026-01-16,53.33333333333333,Healthy,73.5,High,Middle East,UAE,ARE,40,1.3,52.0,Medium,30.0,0.0
PN-ENG-00456,Engine Component - Series B,Engine,Critical,62823,46,30,39,89.0,High,226027,SUP-0133,2025-11-17,46.0,Healthy,75.6,Medium,North America,Canada,CAN,60,1.1,66.0,High,89.0,20116403.0
PN-CAB-00457,Cabin Systems Component - Series X,Cabin Systems,Medium,3964,41,24,31,24.0,Low,72312,SUP-0060,2025-12-16,51.25,Healthy,81.2,Medium,Asia-Pacific,Vietnam,VNM,15,1.1,16.5,Low,24.0,0.0
PN-ELE-00458,Electrical Component - Series X,Electrical,High,6926,6,21,27,63.0,High,157571,SUP-0102,2025-10-29,8.571428571428571,Critical,82.6,Medium,North America,USA,USA,85,1.1,93.50000000000001,High,63.0,9926973.0
PN-ELE-00459,Electrical Component - Series X,Electrical,High,4856,24,14,18,10.0,Low,198410,SUP-0100,2025-10-26,51.42857142857143,Healthy,68.2,High,Asia-Pacific,Singapore,SGP,25,1.3,32.5,Medium,10.0,0.0
PN-ELE-00460,Electrical Component - Series A,Electrical,High,6369,35,26,33,68.0,High,145986,SUP-0148,2025-11-08,40.38461538461538,Healthy,95.7,Low,Europe,Italy,ITA,50,1.0,50.0,Medium,68.0,0.0
PN-STR-00461,Structural Component - Series C,Structural,Medium,14558,32,26,33,42.0,Medium,133167,SUP-0051,2025-12-23,36.92307692307692,Warning,85.1,Medium,Asia-Pacific,Thailand,THA,50,1.1,55.00000000000001,Medium,42.0,0.0
PN-ENG-00462,Engine Component - Series C,Engine,Critical,30585,36,36,46,87.0,High,181629,SUP-0100,2026-01-12,30.0,Warning,68.2,High,Asia-Pacific,Singapore,SGP,85,1.3,100.0,High,87.0,15801723.0
PN-LAN-00463,Landing Gear Component - Series X,Landing Gear,Critical,29999,50,34,44,12.0,Low,339351,SUP-0045,2026-01-20,44.11764705882353,Healthy,74.6,High,Middle East,Israel,ISR,35,1.3,45.5,Medium,12.0,0.0
PN-ELE-00464,Electrical Component - Series A,Electrical,High,3625,53,28,36,68.0,High,161088,SUP-0035,2025-12-05,56.785714285714285,Healthy,83.1,Medium,Asia-Pacific,Thailand,THA,50,1.1,55.00000000000001,Medium,68.0,0.0
PN-ENG-00465,Engine Component - Series C,Engine,Critical,53990,49,34,44,46.0,Medium,328840,SUP-0037,2025-12-30,43.23529411764706,Healthy,69.1,High,Middle East,Israel,ISR,45,1.3,58.5,Medium,46.0,0.0
PN-LAN-00466,Landing Gear Component - Series X,Landing Gear,Critical,17673,64,39,50,8.0,Low,234868,SUP-0109,2025-11-18,49.230769230769226,Healthy,95.1,Medium,Asia-Pacific,Vietnam,VNM,35,1.1,38.5,Medium,8.0,0.0
PN-LAN-00467,Landing Gear Component - Series B,Landing Gear,Critical,27727,47,28,36,73.0,High,208015,SUP-0143,2025-11-16,50.357142857142854,Healthy,60.0,High,Middle East,Turkey,TUR,60,1.3,78.0,High,73.0,15185095.0
PN-LAN-00468,Landing Gear Component - Series X,Landing Gear,Critical,20292,34,25,32,13.0,Low,283943,SUP-0014,2025-12-10,40.8,Healthy,76.5,Medium,Europe,Italy,ITA,35,1.1,38.5,Medium,13.0,0.0
PN-ENG-00469,Engine Component - Series X,Engine,Critical,36024,63,36,46,82.0,High,183876,SUP-0144,2025-12-29,52.5,Healthy,74.3,High,Middle East,Turkey,TUR,60,1.3,78.0,High,82.0,15077832.0
PN-ELE-00470,Electrical Component - Series X,Electrical,High,5229,42,22,28,85.0,High,95846,SUP-0114,2025-12-27,57.27272727272727,Healthy,82.3,High,Middle East,Saudi Arabia,SAU,50,1.3,65.0,High,85.0,8146910.0
PN-AVI-00471,Avionics Component - Series B,Avionics,High,14237,30,26,33,35.0,Medium,237519,SUP-0075,2025-10-30,34.61538461538461,Warning,86.4,Medium,Asia-Pacific,China,CHN,60,1.1,66.0,High,35.0,8313165.0
PN-HYD-00472,Hydraulics Component - Series X,Hydraulics,High,5407,16,15,19,44.0,Medium,239833,SUP-0145,2025-12-28,32.0,Warning,82.8,Medium,North America,Mexico,MEX,60,1.1,66.0,High,44.0,10552652.0
PN-CAB-00473,Cabin Systems Component - Series C,Cabin Systems,Medium,3170,24,21,27,41.0,Medium,81362,SUP-0140,2025-12-11,34.285714285714285,Warning,73.4,Medium,North America,Canada,CAN,50,1.1,55.00000000000001,Medium,41.0,0.0
PN-CAB-00474,Cabin Systems Component - Series X,Cabin Systems,Medium,2549,37,31,40,54.0,Medium,55416,SUP-0140,2025-11-22,35.806451612903224,Warning,73.4,Medium,North America,Canada,CAN,50,1.1,55.00000000000001,Medium,54.0,0.0
PN-LAN-00475,Landing Gear Component - Series B,Landing Gear,Critical,26267,54,34,44,64.0,High,275538,SUP-0077,2025-10-30,47.64705882352941,Healthy,62.1,High,Middle East,Turkey,TUR,60,1.3,78.0,High,64.0,17634432.0
PN-LAN-00476,Landing Gear Component - Series A,Landing Gear,Critical,23845,77,39,50,25.0,Low,294164,SUP-0113,2025-11-10,59.230769230769226,Healthy,67.7,Medium,North America,USA,USA,35,1.1,38.5,Medium,25.0,0.0
PN-STR-00477,Structural Component - Series C,Structural,Medium,13137,40,21,27,61.0,High,138720,SUP-0110,2025-11-16,57.142857142857146,Healthy,83.4,High,Middle East,Qatar,QAT,40,1.3,52.0,Medium,61.0,0.0
PN-CAB-00478,Cabin Systems Component - Series B,Cabin Systems,Medium,3516,45,24,31,48.0,Medium,107384,SUP-0016,2026-01-06,56.25,Healthy,78.0,Medium,North America,USA,USA,25,1.1,27.500000000000004,Low,48.0,0.0
PN-HYD-00479,Hydraulics Component - Series B,Hydraulics,High,5504,20,12,15,88.0,High,228757,SUP-0083,2026-01-24,50.0,Healthy,80.0,High,Asia-Pacific,China,CHN,50,1.3,65.0,High,88.0,20130616.0
PN-HYD-00480,Hydraulics Component - Series A,Hydraulics,High,6561,51,26,33,60.0,Medium,113430,SUP-0035,2025-12-17,58.84615384615385,Healthy,83.1,Medium,Asia-Pacific,Thailand,THA,35,1.1,38.5,Medium,60.0,0.0
PN-ENG-00481,Engine Component - Series B,Engine,Critical,48116,58,33,42,53.0,Medium,348467,SUP-0034,2025-11-26,52.72727272727272,Healthy,72.9,Medium,North America,Canada,CAN,45,1.1,49.50000000000001,Medium,53.0,0.0
PN-AVI-00482,Avionics Component - Series X,Avionics,High,14861,42,22,28,34.0,Medium,187853,SUP-0126,2025-11-13,57.27272727272727,Healthy,75.7,Medium,Europe,Germany,DEU,35,1.1,38.5,Medium,34.0,0.0
PN-CAB-00483,Cabin Systems Component - Series X,Cabin Systems,Medium,3577,34,18,23,32.0,Medium,62541,SUP-0116,2025-11-04,56.66666666666667,Healthy,81.5,High,Middle East,UAE,ARE,25,1.3,32.5,Medium,32.0,0.0
PN-ELE-00484,Electrical Component - Series X,Electrical,High,5427,34,25,32,87.0,High,222145,SUP-0132,2025-11-30,40.8,Healthy,67.9,Medium,Europe,UK,GBR,50,1.1,55.00000000000001,Medium,87.0,0.0
PN-ELE-00485,Electrical Component - Series X,Electrical,High,3786,58,31,40,62.0,High,200613,SUP-0084,2026-01-08,56.12903225806451,Healthy,95.2,Low,North America,Mexico,MEX,50,1.0,50.0,Medium,62.0,0.0
PN-ENG-00486,Engine Component - Series A,Engine,Critical,54905,7,25,32,87.0,High,354011,SUP-0118,2026-01-15,8.4,Critical,72.6,Medium,Europe,France,FRA,95,1.1,100.0,High,87.0,30798957.0
PN-ELE-00487,Electrical Component - Series X,Electrical,High,6901,32,22,28,59.0,Medium,212546,SUP-0056,2025-12-19,43.63636363636364,Healthy,62.4,High,Middle East,Israel,ISR,35,1.3,45.5,Medium,59.0,0.0
PN-STR-00488,Structural Component - Series C,Structural,Medium,11759,19,14,18,40.0,Medium,73712,SUP-0087,2026-01-04,40.714285714285715,Healthy,60.0,High,Middle East,UAE,ARE,25,1.3,32.5,Medium,40.0,0.0
PN-CAB-00489,Cabin Systems Component - Series C,Cabin Systems,Medium,3622,55,34,44,43.0,Medium,141098,SUP-0013,2025-10-31,48.52941176470589,Healthy,84.9,High,Middle East,Saudi Arabia,SAU,25,1.3,32.5,Medium,43.0,0.0
PN-ENG-00490,Engine Component - Series A,Engine,Critical,38788,40,28,36,14.0,Low,139617,SUP-0032,2025-11-15,42.857142857142854,Healthy,99.0,Low,North America,Mexico,MEX,35,1.0,35.0,Medium,14.0,0.0
PN-LAN-00491,Landing Gear Component - Series X,Landing Gear,Critical,19210,53,37,48,42.0,Medium,317030,SUP-0052,2026-01-22,42.97297297297297,Healthy,91.1,Medium,Asia-Pacific,Thailand,THA,45,1.1,49.50000000000001,Medium,42.0,0.0
PN-AVI-00492,Avionics Component - Series C,Avionics,High,14814,13,16,20,28.0,Low,169203,SUP-0024,2026-01-17,24.375,Warning,94.7,Medium,Asia-Pacific,China,CHN,50,1.1,55.00000000000001,Medium,28.0,0.0
PN-HYD-00493,Hydraulics Component - Series B,Hydraulics,High,6743,41,25,32,46.0,Medium,136753,SUP-0014,2025-12-15,49.2,Healthy,76.5,Medium,Europe,Italy,ITA,35,1.1,38.5,Medium,46.0,0.0
PN-ELE-00494,Electrical Component - Series B,Electrical,High,3227,15,31,40,61.0,High,152791,SUP-0110,2026-01-17,14.516129032258062,Critical,83.4,High,Middle East,Qatar,QAT,85,1.3,100.0,High,61.0,9320251.0
PN-ENG-00495,Engine Component - Series X,Engine,Critical,56568,-1,28,36,46.0,Medium,179830,SUP-0020,2025-11-11,-1.0714285714285714,Critical,69.7,Medium,North America,Canada,CAN,85,1.1,93.50000000000001,High,46.0,8272180.0
PN-CAB-00496,Cabin Systems Component - Series A,Cabin Systems,Medium,2691,18,10,13,46.0,Medium,71564,SUP-0003,2026-01-23,54.0,Healthy,80.8,High,Middle East,UAE,ARE,25,1.3,32.5,Medium,46.0,0.0
PN-HYD-00497,Hydraulics Component - Series X,Hydraulics,High,9011,38,24,31,89.0,High,107551,SUP-0034,2025-12-26,47.5,Healthy,72.9,Medium,North America,Canada,CAN,50,1.1,55.00000000000001,Medium,89.0,0.0
PN-ENG-00498,Engine Component - Series A,Engine,Critical,66131,55,36,46,68.0,High,335223,SUP-0027,2025-12-05,45.833333333333336,Healthy,82.4,High,Middle East,Qatar,QAT,60,1.3,78.0,High,68.0,22795164.0
PN-HYD-00499,Hydraulics Component - Series B,Hydraulics,High,8926,48,30,39,20.0,Low,124474,SUP-0037,2025-11-03,48.0,Healthy,69.1,High,Middle East,Israel,ISR,25,1.3,32.5,Medium,20.0,0.0
PN-CAB-00500,Cabin Systems Component - Series B,Cabin Systems,Medium,3851,32,25,32,44.0,Medium,68877,SUP-0113,2025-12-09,38.4,Healthy,67.7,Medium,North America,USA,USA,25,1.1,27.500000000000004,Low,44.0,0.0
PN-ELE-00501,Electrical Component - Series X,Electrical,High,6879,57,30,39,44.0,Medium,175689,SUP-0114,2025-11-22,57.0,Healthy,82.3,High,Middle East,Saudi Arabia,SAU,35,1.3,45.5,Medium,44.0,0.0
PN-ENG-00502,Engine Component - Series A,Engine,Critical,43499,31,21,27,65.0,High,299129,SUP-0099,2025-12-09,44.28571428571429,Healthy,86.4,Medium,North America,USA,USA,60,1.1,66.0,High,65.0,19443385.0
PN-LAN-00503,Landing Gear Component - Series C,Landing Gear,Critical,19364,9,31,40,37.0,Medium,331666,SUP-0022,2025-11-26,8.709677419354838,Critical,64.1,Medium,North America,Canada,CAN,80,1.1,88.0,High,37.0,12271642.0
PN-CAB-00504,Cabin Systems Component - Series C,Cabin Systems,Medium,3305,36,19,24,55.0,Medium,121523,SUP-0007,2026-01-18,56.8421052631579,Healthy,96.8,Medium,Asia-Pacific,Vietnam,VNM,25,1.1,27.500000000000004,Low,55.0,0.0
PN-HYD-00505,Hydraulics Component - Series B,Hydraulics,High,6317,22,18,23,64.0,High,232275,SUP-0101,2025-12-02,36.66666666666667,Warning,60.0,High,Asia-Pacific,Japan,JPN,75,1.3,97.5,High,64.0,14865600.0
PN-ELE-00506,Electrical Component - Series B,Electrical,High,4872,37,34,44,19.0,Low,159944,SUP-0127,2025-12-14,32.64705882352941,Warning,74.7,Medium,Europe,France,FRA,50,1.1,55.00000000000001,Medium,19.0,0.0
PN-ENG-00507,Engine Component - Series A,Engine,Critical,58163,55,36,46,23.0,Low,345413,SUP-0136,2025-10-27,45.833333333333336,Healthy,81.3,Low,Europe,Italy,ITA,35,1.0,35.0,Medium,23.0,0.0
PN-HYD-00508,Hydraulics Component - Series X,Hydraulics,High,5090,36,21,27,27.0,Low,186990,SUP-0094,2026-01-03,51.42857142857143,Healthy,60.0,Medium,North America,USA,USA,25,1.1,27.500000000000004,Low,27.0,0.0
PN-ELE-00509,Electrical Component - Series A,Electrical,High,3200,34,19,24,59.0,Medium,95236,SUP-0005,2026-01-09,53.684210526315795,Healthy,86.8,High,Middle East,UAE,ARE,35,1.3,45.5,Medium,59.0,0.0
PN-ENG-00510,Engine Component - Series A,Engine,Critical,30998,26,31,40,,Unknown,236033,SUP-0102,2025-12-29,25.161290322580644,Warning,82.6,Medium,North America,USA,USA,75,1.1,82.5,High,30.0,7080990.0
PN-HYD-00511,Hydraulics Component - Series X,Hydraulics,High,6010,24,19,24,63.0,High,228355,SUP-0109,2026-01-23,37.89473684210527,Healthy,95.1,Medium,Asia-Pacific,Vietnam,VNM,50,1.1,55.00000000000001,Medium,63.0,0.0
PN-LAN-00512,Landing Gear Component - Series B,Landing Gear,Critical,28030,42,34,44,49.0,Medium,182425,SUP-0072,2025-11-05,37.05882352941177,Warning,69.2,High,Asia-Pacific,Singapore,SGP,70,1.3,91.0,High,49.0,8938825.0
PN-HYD-00513,Hydraulics Component - Series B,Hydraulics,High,6835,29,25,32,56.0,Medium,202413,SUP-0138,2025-12-06,34.8,Warning,72.6,Medium,North America,USA,USA,60,1.1,66.0,High,56.0,11335128.0
PN-LAN-00514,Landing Gear Component - Series A,Landing Gear,Critical,21644,42,28,36,55.0,Medium,201099,SUP-0080,2026-01-23,45.0,Healthy,84.8,Medium,North America,Canada,CAN,45,1.1,49.50000000000001,Medium,55.0,0.0
PN-LAN-00515,Landing Gear Component - Series A,Landing Gear,Critical,33943,44,31,40,44.0,Medium,334092,SUP-0063,2025-11-06,42.58064516129032,Healthy,79.1,Medium,North America,USA,USA,45,1.1,49.50000000000001,Medium,44.0,0.0
PN-LAN-00516,Landing Gear Component - Series A,Landing Gear,Critical,28562,67,34,44,58.0,Medium,257179,SUP-0080,2026-01-19,59.11764705882353,Healthy,84.8,Medium,North America,Canada,CAN,45,1.1,49.50000000000001,Medium,58.0,0.0
PN-ELE-00517,Electrical Component - Series A,Electrical,High,4771,29,21,27,62.0,High,129157,SUP-0036,2026-01-23,41.42857142857143,Healthy,74.4,High,Asia-Pacific,China,CHN,50,1.3,65.0,High,62.0,8007734.0
PN-ENG-00518,Engine Component - Series C,Engine,Critical,48112,23,27,35,86.0,High,179660,SUP-0043,2025-12-12,25.555555555555554,Warning,91.5,Medium,Asia-Pacific,China,CHN,85,1.1,93.50000000000001,High,86.0,15450760.0
PN-AVI-00519,Avionics Component - Series A,Avionics,High,14385,25,18,23,20.0,Low,283731,SUP-0008,2025-12-07,41.66666666666667,Healthy,87.2,Low,Europe,Italy,ITA,25,1.0,25.0,Low,20.0,0.0
PN-STR-00520,Structural Component - Series C,Structural,Medium,14437,34,18,23,26.0,Low,132512,SUP-0148,2026-01-14,56.66666666666667,Healthy,95.7,Low,Europe,Italy,ITA,15,1.0,15.0,Low,26.0,0.0
PN-ENG-00521,Engine Component - Series A,Engine,Critical,39978,49,36,46,59.0,Medium,296352,SUP-0128,2026-01-06,40.833333333333336,Healthy,61.2,Medium,Europe,Germany,DEU,45,1.1,49.50000000000001,Medium,59.0,0.0
PN-AVI-00522,Avionics Component - Series A,Avionics,High,17292,44,31,40,54.0,Medium,163431,SUP-0147,2026-01-20,42.58064516129032,Healthy,61.2,Medium,Europe,France,FRA,35,1.1,38.5,Medium,54.0,0.0
PN-ELE-00523,Electrical Component - Series A,Electrical,High,6289,27,18,23,55.0,Medium,116001,SUP-0012,2025-10-27,45.0,Healthy,76.9,High,Asia-Pacific,Taiwan,TWN,35,1.3,45.5,Medium,55.0,0.0
PN-AVI-00524,Avionics Component - Series B,Avionics,High,10645,47,24,31,,Unknown,250103,SUP-0046,2025-10-30,58.75,Healthy,72.0,Medium,Europe,UK,GBR,40,1.1,44.0,Medium,30.0,0.0
PN-CAB-00525,Cabin Systems Component - Series X,Cabin Systems,Medium,1836,38,26,33,53.0,Medium,106327,SUP-0058,2025-12-06,43.84615384615385,Healthy,80.6,Low,Europe,Germany,DEU,25,1.0,25.0,Low,53.0,0.0
PN-AVI-00526,Avionics Component - Series C,Avionics,High,9129,39,24,31,58.0,Medium,267478,SUP-0020,2026-01-07,48.75,Healthy,69.7,Medium,North America,Canada,CAN,35,1.1,38.5,Medium,58.0,0.0
PN-HYD-00527,Hydraulics Component - Series A,Hydraulics,High,5389,43,28,36,62.0,High,177761,SUP-0046,2025-11-23,46.07142857142857,Healthy,72.0,Medium,Europe,UK,GBR,50,1.1,55.00000000000001,Medium,62.0,0.0
PN-STR-00528,Structural Component - Series X,Structural,Medium,15581,52,28,36,82.0,High,156317,SUP-0018,2025-12-24,55.714285714285715,Healthy,90.5,Medium,Asia-Pacific,China,CHN,40,1.1,44.0,Medium,82.0,0.0
PN-STR-00529,Structural Component - Series C,Structural,Medium,7505,41,27,35,79.0,High,155480,SUP-0023,2026-01-04,45.55555555555556,Healthy,63.8,Medium,Europe,France,FRA,40,1.1,44.0,Medium,79.0,0.0
PN-LAN-00530,Landing Gear Component - Series C,Landing Gear,Critical,25471,29,24,31,,Unknown,184108,SUP-0063,2025-12-24,36.25,Warning,79.1,Medium,North America,USA,USA,75,1.1,82.5,High,30.0,5523240.0
PN-HYD-00531,Hydraulics Component - Series B,Hydraulics,High,7855,17,16,20,28.0,Low,142622,SUP-0140,2025-11-26,31.875,Warning,73.4,Medium,North America,Canada,CAN,50,1.1,55.00000000000001,Medium,28.0,0.0
PN-AVI-00532,Avionics Component - Series B,Avionics,High,10016,28,21,27,,Unknown,200004,SUP-0139,2025-12-09,40.0,Healthy,70.1,High,Middle East,Israel,ISR,40,1.3,52.0,Medium,30.0,0.0
PN-ELE-00533,Electrical Component - Series C,Electrical,High,5305,36,24,31,67.0,High,204282,SUP-0001,2026-01-18,45.0,Healthy,80.9,High,Middle East,Saudi Arabia,SAU,50,1.3,65.0,High,67.0,13686894.0
PN-LAN-00534,Landing Gear Component - Series A,Landing Gear,Critical,33674,43,36,46,75.0,High,288869,SUP-0053,2026-01-01,35.833333333333336,Warning,90.9,Medium,Asia-Pacific,China,CHN,85,1.1,93.50000000000001,High,75.0,21665175.0
PN-AVI-00535,Avionics Component - Series B,Avionics,High,16849,36,24,31,76.0,High,228607,SUP-0072,2025-11-06,45.0,Healthy,69.2,High,Asia-Pacific,Singapore,SGP,50,1.3,65.0,High,76.0,17374132.0
PN-ENG-00536,Engine Component - Series X,Engine,Critical,34654,24,27,35,50.0,Medium,272879,SUP-0096,2025-12-23,26.666666666666664,Warning,65.9,Medium,Europe,France,FRA,70,1.1,77.0,High,50.0,13643950.0
